ped_plottest_no,serial PRIMARY KEY,,
module_no,INT,fk_mod_pedplot,module_assembly
module_name,TEXT,,
comment,TEXT,,
adc_mean_hexmap,BYTEA,,
adc_stdd_hexmap,BYTEA,,
adc_median_hexmap,BYTEA,,
adc_iqr_hexmap,BYTEA,,
noise_channel_chip0,BYTEA,,
noise_channel_chip1,BYTEA,,
noise_channel_chip2,BYTEA,,
pedestal_channel_chip0,BYTEA,,
pedestal_channel_chip1,BYTEA,,
pedestal_channel_chip2,BYTEA,,
total_noise_chip0,BYTEA,,
total_noise_chip1,BYTEA,,
total_noise_chip2,BYTEA,,
inspector,TEXT,,
comment_plot_test,TEXT,,
